対象日付,コード,銘柄名,みなし額面,業種,セクター
"2021/02/19","1332","日本水産","50円","水産","消費"
"2021/02/19","1333","マルハニチロ","500円","水産","消費"
"2021/02/19","1605","国際石油開発帝石","125円","鉱業","素材"
"2021/02/19","1721","コムシスホールディングス","50円","建設","資本財・その他"
"2021/02/19","1801","大成建設","250円","建設","資本財・その他"
"2021/02/19","1802","大林組","50円","建設","資本財・その他"
"2021/02/19","1803","清水建設","50円","建設","資本財・その他"
"2021/02/19","1808","長谷工コーポレーション","250円","建設","資本財・その他"
"2021/02/19","1812","鹿島建設","100円","建設","資本財・その他"
"2021/02/19","1925","大和ハウス工業","50円","建設","資本財・その他"
"2021/02/19","1928","積水ハウス","50円","建設","資本財・その他"
"2021/02/19","1963","日揮ホールディングス","50円","建設","資本財・その他"
"2021/02/19","2002","日清製粉グループ本社","50円","食品","消費"
"2021/02/19","2269","明治ホールディングス","250円","食品","消費"
"2021/02/19","2282","日本ハム","100円","食品","消費"
"2021/02/19","2413","エムスリー","125/6円","サービス","消費"
"2021/02/19","2432","ディー・エヌ・エー","500/3円","サービス","消費"
"2021/02/19","2501","サッポロホールディングス","250円","食品","消費"
"2021/02/19","2502","アサヒグループホールディングス","50円","食品","消費"
"2021/02/19","2503","キリンホールディングス","50円","食品","消費"
"2021/02/19","2531","宝ホールディングス","50円","食品","消費"
"2021/02/19","2768","双日","500円","商社","素材"
"2021/02/19","2801","キッコーマン","50円","食品","消費"
"2021/02/19","2802","味の素","50円","食品","消費"
"2021/02/19","2871","ニチレイ","100円","食品","消費"
"2021/02/19","2914","日本たばこ産業","50円","食品","消費"
"2021/02/19","3086","Ｊ．フロントリテイリング","100円","小売業","消費"
"2021/02/19","3099","三越伊勢丹ホールディングス","50円","小売業","消費"
"2021/02/19","3101","東洋紡","500円","繊維","素材"
"2021/02/19","3103","ユニチカ","500円","繊維","素材"
"2021/02/19","3105","日清紡ホールディングス","50円","電気機器","技術"
"2021/02/19","3289","東急不動産ホールディングス","50円","不動産","資本財・その他"
"2021/02/19","3382","セブン＆アイ・ホールディングス","50円","小売業","消費"
"2021/02/19","3401","帝人","250円","繊維","素材"
"2021/02/19","3402","東レ","50円","繊維","素材"
"2021/02/19","3405","クラレ","50円","化学","素材"
"2021/02/19","3407","旭化成","50円","化学","素材"
"2021/02/19","3436","ＳＵＭＣＯ","500円","非鉄・金属","素材"
